r.emp_id,r.revenue_date,r.revenue,r.opp_type,r.dw_cid,r.pred_date
00E31000000etvsEAA:0050Z000008inN7QAI,2020-09-24,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-09-25,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-09-26,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-09-27,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-09-28,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-09-29,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-09-30,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-01,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-02,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-03,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-04,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-05,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-06,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-07,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-08,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-09,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-10,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-11,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-12,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-13,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-14,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-15,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-16,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-17,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-18,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-19,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-20,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-21,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-22,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-23,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-24,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-25,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-26,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-27,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-28,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-29,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-30,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-10-31,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-01,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-02,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-03,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-04,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-05,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-06,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-07,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-08,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-09,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-10,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-11,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-12,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-13,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-14,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-15,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-16,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-17,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-18,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-19,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-20,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-21,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-22,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-23,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-24,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-25,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-26,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-27,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-28,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-29,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-11-30,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-01,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-02,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-03,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-04,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-05,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-06,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-07,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-08,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-09,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-10,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-11,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-12,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-13,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-14,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-15,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-16,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-17,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-18,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-19,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-20,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-21,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-22,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-23,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-24,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-25,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-26,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-27,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-28,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-29,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-30,0.00,Existing Business,16002,2020-01-01
00E31000000etvsEAA:0050Z000008inN7QAI,2020-12-31,0.00,Existing Business,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-01,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-02,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-03,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-04,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-05,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-06,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-07,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-08,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-09,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-10,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-11,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-12,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-13,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-14,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-15,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-16,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-17,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-18,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-19,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-20,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-21,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-22,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-23,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-24,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-25,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-26,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-27,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-28,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-29,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-30,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-01-31,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-01,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-02,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-03,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-04,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-05,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-06,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-07,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-08,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-09,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-10,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-11,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-12,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-13,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-14,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-15,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-16,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-17,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-18,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-19,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-20,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-21,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-22,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-23,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-24,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-25,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-26,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-27,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-28,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-02-29,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-01,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-02,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-03,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-04,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-05,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-06,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-07,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-08,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-09,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-10,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-11,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-12,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-13,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-14,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-15,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-16,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-17,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-18,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-19,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-20,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-21,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-22,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-23,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-24,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-25,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-26,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-27,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-28,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-29,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-30,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-03-31,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-01,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-02,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-03,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-04,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-05,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-06,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-07,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-08,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-09,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-10,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-11,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-12,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-13,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-14,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-15,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-16,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-17,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-18,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-19,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-20,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-21,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-22,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-23,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-24,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-25,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-26,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-27,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-28,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-29,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-04-30,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-05-01,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-05-02,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-05-03,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-05-04,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-05-05,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-05-06,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-05-07,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-05-08,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-05-09,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-05-10,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-05-11,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-05-12,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-05-13,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-05-14,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-05-15,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-05-16,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-05-17,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-05-18,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-05-19,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-05-20,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-05-21,0.00,Unavailable,16002,2020-01-01
00E31000000etvdEAA:0050Z00000A40oAQAR,2020-05-22,0.00,Unavailable,16002,2020-01-01
